icd9,icd9_description,
43400,Cerebral thrombosis without mention of cerebral infarction,
43401,Cerebral thrombosis with cerebral infarction,
43410,Cerebral embolism without mention of cerebral infarction,
43411,Cerebral embolism with cerebral infarction,
43490,"Cerebral artery occlusion, unspecified without mention of cerebral infarction",
43491,"Cerebral artery occlusion, unspecified with cerebral infarction",
4376,Nonpyogenic thrombosis of intracranial venous sinus,
44409,Other arterial embolism and thrombosis of abdominal aorta,
4441,Embolism and thrombosis of thoracic aorta,
44421,Arterial embolism and thrombosis of upper extremity,
44422,Arterial embolism and thrombosis of lower extremity,
44481,Embolism and thrombosis of iliac artery,
44489,Embolism and thrombosis of other specified artery,
4449,Embolism and thrombosis of unspecified artery,
44501,Atheroembolism of upper extremity,
44502,Atheroembolism of lower extremity,
44581,Atheroembolism of kidney,
44589,Atheroembolism of other site,
452,Portal vein thrombosis,Portal vein thrombosis
4532,Other venous embolism and thrombosis of inferior vena cava,
4533,Other venous embolism and thrombosis of renal vein,
45340,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,
45341,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,
45342,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,
45350,Chronic venous embolism and thrombosis of unspecified deep vessels of lower extremity,
45351,Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity,
45352,Chronic venous embolism and thrombosis of deep vessels of distal lower extremity,
4536,Venous embolism and thrombosis of superficial vessels of lower extremity,
45371,Chronic venous embolism and thrombosis of superficial veins of upper extremity,
45372,Chronic venous embolism and thrombosis of deep veins of upper extremity,
45373,"Chronic venous embolism and thrombosis of upper extremity, unspecified",
45374,Chronic venous embolism and thrombosis of axillary veins,
45375,Chronic venous embolism and thrombosis of subclavian veins,
45376,Chronic venous embolism and thrombosis of internal jugular veins,
45377,Chronic venous embolism and thrombosis of other thoracic veins,
45379,Chronic venous embolism and thrombosis of other specified veins,
45381,Acute venous embolism and thrombosis of superficial veins of upper extremity,
45382,Acute venous embolism and thrombosis of deep veins of upper extremity,
45383,"Acute venous embolism and thrombosis of upper extremity, unspecified",
45384,Acute venous embolism and thrombosis of axillary veins,
45385,Acute venous embolism and thrombosis of subclavian veins,
45386,Acute venous embolism and thrombosis of internal jugular veins,
45387,Acute venous embolism and thrombosis of other thoracic veins,
45389,Acute venous embolism and thrombosis of other specified veins,
4539,Other venous embolism and thrombosis of unspecified site,
449,Septic arterial embolism,Septic arterial embolism
41511,Iatrogenic pulmonary embolism and infarction,
41512,Septic pulmonary embolism,
41513,Saddle embolus of pulmonary artery,
41519,Other pulmonary embolism and infarction,
